Season,variable,n,min,max,median,iqr,mean,sd,se,ci
Spring/Summer,dry weight g/m2,36,2.461,112.373,18.678,62.777,35.149,35.82,5.97,12.12
Spring/Summer,fat g/m2,36,0.02,0.989,0.129,0.439,0.253,0.253,0.042,0.086
Spring/Summer,protein g/m2,36,0.108,22.222,1.305,9.065,4.776,6.471,1.078,2.189
Spring/Summer,EPA_gm2,36,0.001,0.096,0.007,0.036,0.02,0.024,0.004,0.008
Spring/Summer,SFA_gm2,36,0.008,0.31,0.045,0.123,0.078,0.073,0.012,0.025
Spring/Summer,MUFA_gm2,36,0.004,0.125,0.02,0.048,0.033,0.03,0.005,0.01
Spring/Summer,PUFA_gm2,36,0.002,0.277,0.024,0.119,0.061,0.07,0.012,0.024
Spring/Summer,O3_PUFA_gm2,36,0.001,0.178,0.016,0.087,0.043,0.05,0.008,0.017
Autumn/Winter,dry weight g/m2,36,0.351,10.227,5.365,6.468,4.786,3.161,0.527,1.07
Autumn/Winter,fat g/m2,36,0,0.192,0.085,0.111,0.073,0.058,0.01,0.02
Autumn/Winter,protein g/m2,36,0.008,0.992,0.506,0.659,0.435,0.326,0.054,0.11
Autumn/Winter,EPA_gm2,36,0,0.008,0.002,0.004,0.002,0.002,0,0.001
Autumn/Winter,SFA_gm2,36,0,0.068,0.03,0.044,0.027,0.022,0.004,0.007
Autumn/Winter,MUFA_gm2,36,0,0.052,0.021,0.028,0.019,0.015,0.003,0.005
Autumn/Winter,PUFA_gm2,36,0,0.026,0.008,0.012,0.008,0.007,0.001,0.002
Autumn/Winter,O3_PUFA_gm2,36,0,0.018,0.005,0.008,0.005,0.005,0.001,0.002
