name,Season,term,contrast,null.value,estimate,std.error,df,statistic,adj.p.value
Fat~(g/m^2),Autumn/Winter,Age,Age13 - Age32,0,-4.33,0.15,77.65,-29.52,<0.001
Fat~(g/m^2),Autumn/Winter,Age,Age13 - Age54,0,-4.71,0.15,77.65,-32.11,<0.001
Fat~(g/m^2),Autumn/Winter,Age,Age32 - Age54,0,-0.38,0.13,76.01,-2.91,0.013
Fat~(g/m^2),Spring/Summer,Age,Age13 - Age32,0,-1.42,0.16,76.01,-8.83,<0.001
Fat~(g/m^2),Spring/Summer,Age,Age13 - Age54,0,-2.76,0.16,76.01,-17.19,<0.001
Fat~(g/m^2),Spring/Summer,Age,Age32 - Age54,0,-1.34,0.16,76.01,-8.36,<0.001
Dry~weight~(g),Autumn/Winter,Age,Age13 - Age32,0,-2.16,0.09,77.44,-25.06,<0.001
Dry~weight~(g),Autumn/Winter,Age,Age13 - Age54,0,-2.5,0.09,77.44,-28.98,<0.001
Dry~weight~(g),Autumn/Winter,Age,Age32 - Age54,0,-0.34,0.08,76,-4.37,<0.001
Dry~weight~(g),Spring/Summer,Age,Age13 - Age32,0,-1.48,0.09,76,-15.68,<0.001
Dry~weight~(g),Spring/Summer,Age,Age13 - Age54,0,-2.92,0.09,76,-30.95,<0.001
Dry~weight~(g),Spring/Summer,Age,Age32 - Age54,0,-1.44,0.09,76,-15.27,<0.001
Protein~(g/m^2),Autumn/Winter,Age,Age13 - Age32,0,-3.37,0.14,78.02,-24.77,<0.001
Protein~(g/m^2),Autumn/Winter,Age,Age13 - Age54,0,-3.61,0.14,78.02,-26.56,<0.001
Protein~(g/m^2),Autumn/Winter,Age,Age32 - Age54,0,-0.24,0.12,76.01,-2.01,0.116
Protein~(g/m^2),Spring/Summer,Age,Age13 - Age32,0,-1.87,0.15,76.01,-12.59,<0.001
Protein~(g/m^2),Spring/Summer,Age,Age13 - Age54,0,-3.96,0.15,76.01,-26.66,<0.001
Protein~(g/m^2),Spring/Summer,Age,Age32 - Age54,0,-2.09,0.15,76.01,-14.06,<0.001
EPA~(g/m^2),Autumn/Winter,Age,Age13 - Age32,0,-4.27,0.2,77.46,-20.98,<0.001
EPA~(g/m^2),Autumn/Winter,Age,Age13 - Age54,0,-4.73,0.2,77.46,-23.26,<0.001
EPA~(g/m^2),Autumn/Winter,Age,Age32 - Age54,0,-0.46,0.18,76.01,-2.55,0.034
EPA~(g/m^2),Spring/Summer,Age,Age13 - Age32,0,-1.82,0.22,76.01,-8.18,<0.001
EPA~(g/m^2),Spring/Summer,Age,Age13 - Age54,0,-3.58,0.22,76.01,-16.08,<0.001
EPA~(g/m^2),Spring/Summer,Age,Age32 - Age54,0,-1.76,0.22,76.01,-7.9,<0.001
SFA~(g/m^2),Autumn/Winter,Age,Age13 - Age32,0,-4.31,0.15,77.64,-29.68,<0.001
SFA~(g/m^2),Autumn/Winter,Age,Age13 - Age54,0,-4.71,0.15,77.64,-32.46,<0.001
SFA~(g/m^2),Autumn/Winter,Age,Age32 - Age54,0,-0.4,0.13,76.01,-3.11,0.007
SFA~(g/m^2),Spring/Summer,Age,Age13 - Age32,0,-1.27,0.16,76.01,-8,<0.001
SFA~(g/m^2),Spring/Summer,Age,Age13 - Age54,0,-2.43,0.16,76.01,-15.27,<0.001
SFA~(g/m^2),Spring/Summer,Age,Age32 - Age54,0,-1.16,0.16,76.01,-7.28,<0.001
MUFA~(g/m^2),Autumn/Winter,Age,Age13 - Age32,0,-4.63,0.15,77.69,-30.69,<0.001
MUFA~(g/m^2),Autumn/Winter,Age,Age13 - Age54,0,-5.02,0.15,77.69,-33.3,<0.001
MUFA~(g/m^2),Autumn/Winter,Age,Age32 - Age54,0,-0.39,0.13,76.01,-2.93,0.012
MUFA~(g/m^2),Spring/Summer,Age,Age13 - Age32,0,-1.32,0.16,76.01,-7.98,<0.001
MUFA~(g/m^2),Spring/Summer,Age,Age13 - Age54,0,-2.44,0.16,76.01,-14.8,<0.001
MUFA~(g/m^2),Spring/Summer,Age,Age32 - Age54,0,-1.12,0.16,76.01,-6.82,<0.001
PUFA~(g/m^2),Autumn/Winter,Age,Age13 - Age32,0,-4.13,0.19,77.9,-21.96,<0.001
PUFA~(g/m^2),Autumn/Winter,Age,Age13 - Age54,0,-4.59,0.19,77.9,-24.39,<0.001
PUFA~(g/m^2),Autumn/Winter,Age,Age32 - Age54,0,-0.46,0.17,76.01,-2.74,0.021
PUFA~(g/m^2),Spring/Summer,Age,Age13 - Age32,0,-1.65,0.2,76.01,-8.06,<0.001
PUFA~(g/m^2),Spring/Summer,Age,Age13 - Age54,0,-3.32,0.2,76.01,-16.22,<0.001
PUFA~(g/m^2),Spring/Summer,Age,Age32 - Age54,0,-1.67,0.2,76.01,-8.15,<0.001
ω3~PUFA~(g/m^2),Autumn/Winter,Age,Age13 - Age32,0,-4.2,0.2,78.75,-20.74,<0.001
ω3~PUFA~(g/m^2),Autumn/Winter,Age,Age13 - Age54,0,-4.76,0.2,78.75,-23.54,<0.001
ω3~PUFA~(g/m^2),Autumn/Winter,Age,Age32 - Age54,0,-0.57,0.18,76.04,-3.18,0.006
ω3~PUFA~(g/m^2),Spring/Summer,Age,Age13 - Age32,0,-1.66,0.22,76.04,-7.62,<0.001
ω3~PUFA~(g/m^2),Spring/Summer,Age,Age13 - Age54,0,-3.43,0.22,76.04,-15.71,<0.001
ω3~PUFA~(g/m^2),Spring/Summer,Age,Age32 - Age54,0,-1.76,0.22,76.04,-8.09,<0.001
